,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
126,Port Alfred,-33.59,26.89,48.97,75,9,9.91,ZA,1598832195
127,Urubichá,-15.38,-62.95,82.58,42,88,1.77,BO,1598832432
128,East London,-33.02,27.91,51.17,64,2,8.16,ZA,1598832211
129,Arawa,-6.21,155.54,88.75,58,50,6.71,PG,1598832433
130,Xinxiang,35.31,113.87,84.0,61,1,9.26,CN,1598832434
131,Conakry,9.54,-13.68,78.21,85,100,14.09,GN,1598832434
132,Bathsheba,13.22,-59.52,80.6,83,75,12.75,BB,1598832213
133,Kruisfontein,-34.0,24.73,43.0,85,16,7.61,ZA,1598832194
134,Alyangula,-13.85,136.42,84.2,58,75,14.99,AU,1598832435
135,Broome,42.25,-75.83,64.4,52,1,6.93,US,1598832242
136,Traverse City,44.76,-85.62,69.8,60,20,5.82,US,1598832215
137,Mahébourg,-20.41,57.7,69.8,88,75,13.87,MU,1598832265
138,Örnsköldsvik,63.29,18.72,48.2,100,100,8.05,SE,1598832435
139,Pandan,14.05,124.17,85.14,70,99,10.4,PH,1598832436
140,Kahului,20.89,-156.47,89.6,52,40,28.86,US,1598832292
141,Praia,14.92,-23.51,80.6,78,75,10.29,CV,1598832283
142,La Ronge,55.1,-105.28,46.4,87,90,13.87,CA,1598832233
143,Uíge,-7.61,15.06,67.84,77,19,2.86,AO,1598832436
144,Grande Prairie,55.17,-118.8,60.8,41,75,14.99,CA,1598832255
145,Bluff,-46.6,168.33,57.65,60,35,25.19,NZ,1598832187
146,Castro,-24.79,-50.01,62.96,71,0,2.98,BR,1598832193
147,Kloulklubed,7.04,134.26,82.4,83,75,7.2,PW,1598832437
148,Nome,64.5,-165.41,53.6,76,90,17.22,US,1598832195
149,Tuatapere,-46.13,167.68,60.26,53,13,17.34,NZ,1598832193
150,Bambanglipuro,-7.95,110.28,76.73,74,59,12.97,ID,1598832294
151,Praxédis Guerrero,31.37,-106.02,91.4,26,75,9.17,MX,1598832438
152,Chaiyo,14.68,100.47,82.99,87,100,6.17,TH,1598832438
153,De Aar,-30.65,24.01,32.58,83,0,7.14,ZA,1598832438
